id	priority	category	file	line	col	source	zh_cn	context	notes
SRC_00001	low	other	src/alky.c	3	10	angband.h	angband.h	#include "angband.h"	头文件，保留原样
SRC_00002	low	other	src/alky.c	20	2	tier 0	0阶	"tier 0",	
SRC_00003	low	other	src/alky.c	21	2	tier 1	1阶	"tier 1",	
SRC_00004	low	other	src/alky.c	22	2	tier 2	2阶	"tier 2"	
SRC_00012	low	other	src/alky.c	284	27	Select the first %s:	选择第一个%s：	string_printf(prompt, "Select the first %s:", "infusion");	
SRC_00013	low	other	src/alky.c	284	51	infusion	注入物	string_printf(prompt, "Select the first %s:", "infusion");	
SRC_00014	low	other	src/alky.c	286	27	Select the second %s:	选择第二个%s：	string_printf(prompt, "Select the second %s:", "infusion");	
SRC_00015	low	other	src/alky.c	286	52	infusion	注入物	string_printf(prompt, "Select the second %s:", "infusion");	
SRC_00016	low	other	src/alky.c	290	26	%s which %s	%s哪个%s	string_printf(prompt, "%s which %s", verb, "infusion");	拼接动词与名词
SRC_00017	low	other	src/alky.c	290	47	infusion	注入物	string_printf(prompt, "%s which %s", verb, "infusion");	
SRC_00018	low	other	src/alky.c	294	30	, ['X' to Exchange	，[按 'X' 交换	string_append_s(prompt, ", ['X' to Exchange");	
SRC_00023	low	other	src/alky.c	401	19	Really use %s? <color:y>[y/n]</color>	真的要使用%s吗？<color:y>[y/n]</color>	sprintf(prompt, "Really use %s? <color:y>[y/n]</color>", o_name);	
SRC_00024	low	other	src/alky.c	402	26	ny	ny	if (msg_prompt(prompt, "ny", PROMPT_DEFAULT) == 'n')	
SRC_00025	low	other	src/alky.c	405	20	Really, REALLY use %s? <color:y>[y/n]</color>	真的、真的要使用%s吗？<color:y>[y/n]</color>	sprintf(prompt, "Really, REALLY use %s? <color:y>[y/n]</color>", o_name);	
SRC_00026	low	other	src/alky.c	406	27	ny	ny	if (msg_prompt(prompt, "ny", PROMPT_DEFAULT) == 'n') return;	
SRC_00034	low	other	src/alky.c	499	19	Really replace %s? <color:y>[y/n]</color>	真的要替换%s吗？<color:y>[y/n]</color>	sprintf(prompt, "Really replace %s? <color:y>[y/n]</color>", o_name);	
