id	priority	category	file	line	col	source	zh_cn	context	notes
SRC_00001	low	other	src/alky.c	3	10	angband.h		#include "angband.h"	
SRC_00002	low	other	src/alky.c	20	2	tier 0		"tier 0",	
SRC_00003	low	other	src/alky.c	21	2	tier 1		"tier 1",	
SRC_00004	low	other	src/alky.c	22	2	tier 2		"tier 2"	
SRC_00005	high	display	src/alky.c	219	22	<tab:%d>Cost: %4d (%s)  Lvl: <color:G>%3d</color>\n		doc_printf(doc, "<tab:%d>Cost: %4d (%s) Lvl: <color:G>%3d</color>\\n", display.cx - 32, _FindFormula(o_ptr->sval)->cost, _tiername[tier], DC);	
SRC_00006	high	display	src/alky.c	222	21	<tab:%d><color:r>Irreproducible</color>\n		doc_printf(doc, "<tab:%d><color:r>Irreproducible</color>\\n",display.cx - 22);	
SRC_00007	high	display	src/alky.c	225	21	<tab:%d>Cost: %4d (%s)  Lvl: <color:R>%3d</color>\n		doc_printf(doc, "<tab:%d>Cost: %4d (%s) Lvl: <color:R>%3d</color>\\n", display.cx - 32, _FindFormula(o_ptr->sval)->cost, _tiername[tier], DC);	
SRC_00008	high	display	src/alky.c	231	38	(None)\n		doc_insert_text(doc, TERM_L_DARK, "(None)\\n");	
SRC_00009	high	display	src/alky.c	235	18	\nAlchemist skill: <color:y>%3d%</color> \n		doc_printf(doc, "\\nAlchemist skill: <color:y>%3d%</color> \\n", _AlchemistSkill());	
SRC_00010	high	display	src/alky.c	236	18	Energy cost: <color:B>%7d%</color> \n		doc_printf(doc, "Energy cost: <color:B>%7d%</color> \\n", alchemist_infusion_energy_use());	
SRC_00011	high	display	src/alky.c	237	18	\nChemical stock: \n		doc_printf(doc, "\\nChemical stock: \\n");	
SRC_00012	low	other	src/alky.c	284	27	Select the first %s:		string_printf(prompt, "Select the first %s:", "infusion");	
SRC_00013	low	other	src/alky.c	284	51	infusion		string_printf(prompt, "Select the first %s:", "infusion");	
SRC_00014	low	other	src/alky.c	286	27	Select the second %s:		string_printf(prompt, "Select the second %s:", "infusion");	
SRC_00015	low	other	src/alky.c	286	52	infusion		string_printf(prompt, "Select the second %s:", "infusion");	
SRC_00016	low	other	src/alky.c	290	26	%s which %s		string_printf(prompt, "%s which %s", verb, "infusion");	
SRC_00017	low	other	src/alky.c	290	47	infusion		string_printf(prompt, "%s which %s", verb, "infusion");	
SRC_00018	low	other	src/alky.c	294	30	, ['X' to Exchange		string_append_s(prompt, ", ['X' to Exchange");	
SRC_00019	medium	possible_name	src/alky.c	363	51	Use		if ((toisto) && (result->number > 0) && ((streq("Use", verb)) || (streq("Reproduce", verb))))	
